,Date_Time,No,Latitude,Longitude,Altitude,Speed,Heartrate,Cadence,Power
0,2020-08-06 12:07:17,1,-21.736929999999997,166.181624,13.0,9.09,134.0,98.0,444.0
1,2020-08-06 12:07:18,2,-21.736853,166.18158799999998,13.0,9.33,136.0,105.0,387.0
2,2020-08-06 12:07:19,3,-21.736775,166.181553,13.0,9.54,136.0,106.0,431.0
3,2020-08-06 12:07:20,4,-21.736693,166.18151,13.0,9.81,137.0,107.0,530.0
4,2020-08-06 12:07:21,5,-21.736636999999998,166.18143999999998,13.0,10.16,138.0,112.0,619.0
5,2020-08-06 12:07:22,6,-21.736621,166.18133799999998,13.0,10.52,139.0,119.0,590.0
6,2020-08-06 12:07:23,7,-21.736645000000003,166.18123799999998,13.0,10.84,140.0,115.0,606.0
7,2020-08-06 12:07:24,8,-21.73668,166.18114599999998,13.0,11.11,141.0,113.0,574.0
8,2020-08-06 12:07:25,9,-21.736721,166.181043,13.0,11.35,142.0,88.0,539.0
9,2020-08-06 12:07:26,10,-21.73676,166.180941,13.0,11.53,143.0,87.0,226.0
10,2020-08-06 12:07:27,11,-21.736798999999998,166.180834,13.0,11.61,143.0,103.0,265.0
11,2020-08-06 12:07:28,12,-21.736837,166.180731,13.0,11.71,144.0,104.0,283.0
12,2020-08-06 12:07:29,13,-21.736875,166.18062700000002,13.0,11.78,145.0,103.0,244.0
13,2020-08-06 12:07:30,14,-21.736915,166.18051599999998,13.0,11.85,146.0,94.0,245.0
14,2020-08-06 12:07:31,15,-21.736953,166.18041200000002,13.0,11.96,147.0,91.0,318.0
15,2020-08-06 12:07:32,16,-21.736993,166.180303,13.0,12.11,147.0,92.0,349.0
16,2020-08-06 12:07:33,17,-21.737034,166.18019099999998,13.0,12.24,149.0,95.0,323.0
17,2020-08-06 12:07:34,18,-21.737074,166.180083,13.0,12.37,150.0,96.0,344.0
18,2020-08-06 12:07:35,19,-21.737116,166.179967,13.0,12.51,151.0,97.0,353.0
19,2020-08-06 12:07:36,20,-21.737156,166.17985900000002,13.0,12.69,151.0,99.0,415.0
20,2020-08-06 12:07:37,21,-21.7372,166.17974099999998,13.0,12.88,152.0,102.0,421.0
21,2020-08-06 12:07:38,22,-21.73724,166.179631,13.0,13.03,152.0,103.0,399.0
22,2020-08-06 12:07:39,23,-21.737282999999998,166.179513,13.0,13.2,153.0,102.0,450.0
23,2020-08-06 12:07:40,24,-21.737333,166.17938999999998,13.0,13.36,153.0,102.0,441.0
24,2020-08-06 12:07:41,25,-21.737389,166.17926699999998,13.0,13.49,153.0,101.0,428.0
25,2020-08-06 12:07:42,26,-21.737438,166.179158,13.0,13.56,153.0,101.0,372.0
26,2020-08-06 12:07:43,27,-21.737496,166.179031,13.0,13.5,154.0,78.0,233.0
27,2020-08-06 12:07:44,28,-21.737548,166.178916,13.0,13.45,154.0,92.0,316.0
28,2020-08-06 12:07:45,29,-21.737598000000002,166.178804,13.0,13.49,154.0,94.0,317.0
29,2020-08-06 12:07:46,30,-21.737654,166.17868700000002,13.0,13.51,155.0,100.0,254.0
30,2020-08-06 12:07:47,31,-21.737705,166.178567,13.0,13.45,155.0,102.0,171.0
31,2020-08-06 12:07:48,32,-21.737752,166.178446,13.0,13.35,155.0,94.0,219.0
32,2020-08-06 12:07:49,33,-21.737801,166.17833100000001,13.0,13.31,155.0,90.0,275.0
33,2020-08-06 12:07:50,34,-21.737852,166.178212,13.0,13.3,155.0,91.0,276.0
34,2020-08-06 12:07:51,35,-21.7379,166.1781,13.0,13.31,155.0,89.0,304.0
35,2020-08-06 12:07:52,36,-21.737952,166.17798100000002,13.0,13.33,155.0,89.0,302.0
36,2020-08-06 12:07:53,37,-21.738004999999998,166.177869,13.0,13.37,155.0,89.0,303.0
37,2020-08-06 12:07:54,38,-21.73806,166.177744,13.0,13.4,155.0,90.0,306.0
38,2020-08-06 12:07:55,39,-21.738111,166.17763300000001,13.0,13.44,156.0,91.0,319.0
39,2020-08-06 12:07:56,40,-21.738152,166.17751,13.0,13.48,155.0,91.0,317.0
40,2020-08-06 12:07:57,41,-21.738186,166.17738799999998,13.0,13.52,155.0,92.0,321.0
41,2020-08-06 12:07:58,42,-21.738223,166.177266,13.0,13.56,155.0,91.0,319.0
42,2020-08-06 12:07:59,43,-21.738263,166.177132,13.0,13.61,155.0,91.0,329.0
43,2020-08-06 12:08:00,44,-21.738297,166.177018,13.0,13.64,155.0,91.0,312.0
44,2020-08-06 12:08:01,45,-21.738339,166.176882,13.0,13.67,155.0,90.0,315.0
45,2020-08-06 12:08:02,46,-21.738384,166.176772,13.0,13.7,156.0,90.0,327.0
46,2020-08-06 12:08:03,47,-21.738438000000002,166.176656,13.0,13.74,156.0,91.0,323.0
47,2020-08-06 12:08:04,48,-21.738495,166.176535,13.0,13.77,155.0,92.0,316.0
48,2020-08-06 12:08:05,49,-21.738544,166.17641,13.0,13.79,156.0,89.0,314.0
49,2020-08-06 12:08:06,50,-21.738587,166.176291,13.0,13.81,156.0,90.0,311.0
50,2020-08-06 12:08:07,51,-21.738639000000003,166.176159,13.0,13.82,156.0,90.0,307.0
51,2020-08-06 12:08:08,52,-21.738682999999998,166.176047,13.0,13.83,156.0,88.0,308.0
52,2020-08-06 12:08:09,53,-21.738731,166.175917,13.0,13.83,156.0,90.0,294.0
53,2020-08-06 12:08:10,54,-21.738766000000002,166.175797,13.0,13.84,156.0,90.0,324.0
54,2020-08-06 12:08:11,55,-21.738811,166.175667,13.0,13.8,156.0,91.0,330.0
55,2020-08-06 12:08:12,56,-21.738858,166.175546,13.0,13.78,156.0,93.0,333.0
56,2020-08-06 12:08:13,57,-21.738887,166.175422,13.0,13.74,157.0,95.0,354.0
57,2020-08-06 12:08:14,58,-21.738892,166.175288,13.0,13.63,157.0,98.0,374.0
58,2020-08-06 12:08:15,59,-21.738858,166.175158,13.0,13.53,157.0,98.0,375.0
59,2020-08-06 12:08:16,60,-21.738789,166.17504499999998,13.0,13.45,157.0,100.0,394.0
60,2020-08-06 12:08:17,61,-21.738713,166.174954,13.0,13.39,157.0,97.0,389.0
61,2020-08-06 12:08:18,62,-21.738628,166.174856,13.0,13.28,158.0,98.0,350.0
62,2020-08-06 12:08:19,63,-21.738544,166.17476100000002,13.0,13.24,158.0,94.0,407.0
63,2020-08-06 12:08:20,64,-21.738464999999998,166.174672,13.0,13.23,159.0,95.0,423.0
64,2020-08-06 12:08:21,65,-21.738378,166.174576,13.0,13.15,159.0,97.0,349.0
65,2020-08-06 12:08:22,66,-21.738295,166.174483,13.0,13.07,159.0,97.0,349.0
66,2020-08-06 12:08:23,67,-21.738218,166.174398,13.0,13.0,159.0,94.0,395.0
67,2020-08-06 12:08:24,68,-21.738134,166.174306,13.0,12.98,160.0,95.0,395.0
68,2020-08-06 12:08:25,69,-21.738047,166.17420900000002,13.0,12.94,160.0,97.0,353.0
69,2020-08-06 12:08:26,70,-21.737972,166.174126,13.0,12.89,160.0,98.0,368.0
70,2020-08-06 12:08:27,71,-21.73789,166.174035,13.0,12.85,160.0,97.0,413.0
71,2020-08-06 12:08:28,72,-21.737809,166.17394199999998,13.0,12.85,160.0,98.0,375.0
72,2020-08-06 12:08:29,73,-21.737734,166.173844,13.0,12.82,161.0,99.0,381.0
73,2020-08-06 12:08:30,74,-21.737676,166.173738,13.0,12.81,161.0,98.0,424.0
74,2020-08-06 12:08:31,75,-21.737645,166.173619,13.0,12.82,161.0,99.0,406.0
75,2020-08-06 12:08:32,76,-21.737647,166.173495,13.0,12.82,161.0,100.0,388.0
76,2020-08-06 12:08:33,77,-21.737676999999998,166.173377,13.0,12.8,162.0,99.0,380.0
77,2020-08-06 12:08:34,78,-21.737727,166.17326699999998,13.0,12.81,162.0,97.0,387.0
78,2020-08-06 12:08:35,79,-21.737789000000003,166.17316100000002,13.0,12.91,162.0,94.0,378.0
79,2020-08-06 12:08:36,80,-21.737862,166.173057,13.0,12.98,162.0,95.0,351.0
80,2020-08-06 12:08:37,81,-21.73793,166.17296100000002,13.0,13.0,162.0,93.0,345.0
81,2020-08-06 12:08:38,82,-21.737999,166.17286299999998,13.0,12.98,163.0,91.0,343.0
