,Date_Time,No,Latitude,Longitude,Altitude,Speed,Heartrate,Cadence,Power
0,2020-08-06 12:07:20,1,-21.736932999999997,166.181635,13.0,9.66,151,91.0,403.0
1,2020-08-06 12:07:21,2,-21.73685,166.181581,13.0,9.93,153,92.0,444.0
2,2020-08-06 12:07:22,3,-21.736764,166.181549,13.0,10.31,154,93.0,554.0
3,2020-08-06 12:07:23,4,-21.736681,166.181506,13.0,10.59,157,94.0,495.0
4,2020-08-06 12:07:24,5,-21.736629999999998,166.18142,13.0,10.72,159,96.0,401.0
5,2020-08-06 12:07:25,6,-21.736626,166.181313,13.0,10.91,160,97.0,464.0
6,2020-08-06 12:07:26,7,-21.736655,166.18121599999998,13.0,11.1,162,98.0,473.0
7,2020-08-06 12:07:27,8,-21.736694,166.18110900000002,13.0,11.23,163,98.0,431.0
8,2020-08-06 12:07:28,9,-21.736732999999997,166.181023,13.0,11.4,164,98.0,435.0
9,2020-08-06 12:07:29,10,-21.736773,166.180916,13.0,11.57,165,98.0,358.0
10,2020-08-06 12:07:30,11,-21.736814000000003,166.180809,13.0,11.68,166,99.0,305.0
11,2020-08-06 12:07:31,12,-21.73685,166.180701,13.0,11.76,167,98.0,282.0
12,2020-08-06 12:07:32,13,-21.736886,166.18059399999999,13.0,11.86,167,96.0,313.0
13,2020-08-06 12:07:33,14,-21.736926,166.180487,13.0,11.94,168,95.0,295.0
14,2020-08-06 12:07:34,15,-21.736964999999998,166.18037900000002,13.0,12.04,168,94.0,318.0
15,2020-08-06 12:07:35,16,-21.737005,166.180272,13.0,12.28,168,94.0,439.0
16,2020-08-06 12:07:36,17,-21.737048,166.180165,13.0,12.47,168,94.0,422.0
17,2020-08-06 12:07:37,18,-21.737087,166.180058,13.0,12.6,169,95.0,364.0
18,2020-08-06 12:07:38,19,-21.73713,166.17994,13.0,12.61,169,94.0,247.0
19,2020-08-06 12:07:39,20,-21.737172,166.179832,13.0,12.64,169,96.0,292.0
20,2020-08-06 12:07:40,21,-21.737212,166.17970400000002,13.0,12.73,169,101.0,337.0
21,2020-08-06 12:07:41,22,-21.737254,166.179596,13.0,12.82,169,103.0,350.0
22,2020-08-06 12:07:42,23,-21.737298000000003,166.179478,13.0,12.89,169,103.0,341.0
23,2020-08-06 12:07:43,24,-21.737345,166.179371,13.0,12.89,169,102.0,316.0
24,2020-08-06 12:07:44,25,-21.737394000000002,166.17925300000002,13.0,12.79,169,102.0,310.0
